X,Y,Name,Descricao,icon_url
-34.881911,-7.12255,A22,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.883395,-7.115993,A24,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.829645,-7.154333,A25,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.835798,-7.155671,A26,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.83504,-7.1465,A27,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.841651,-7.156444,A28,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.84456,-7.148755,A29,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.839172,-7.165944,A30,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.839512,-7.172628,A31,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.861651,-7.111041,A32,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.849052,-7.150861,A34,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.851428,-7.153841,A35,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.847961,-7.15957,A36,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.872647,-7.134075,A37,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.879965,-7.135564,A38,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.83167,-7.13032,A39,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.828414,-7.134982,A40,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.856673,-7.166215,A41,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.871312,-7.156342,A42,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.868222,-7.181748,A43,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.86346,-7.174658,A44,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.885618,-7.121229,I01,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.833395,-7.105982,I05,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.885628,-7.12129,I06,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.848106,-7.119856,I07,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.826905,-7.135175,M08,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.842535,-7.070578,N03,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.83721,-7.09341,N04,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.879755,-7.236382,A03,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.879523,-7.221455,A05,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.885106,-7.225453,A07,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.888016,-7.217754,A08,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.894587,-7.21728,A09,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.89983,-7.225037,A11,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.874751,-7.23465,A12,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.881047,-7.207544,A13,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.87193,-7.215158,A14,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.879522,-7.249364,A15,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.905169,-7.236627,A16,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.893246,-7.238387,A17,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.898991,-7.247115,A18,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.910812,-7.24924,A19,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.92572,-7.212574,A20,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.923566,-7.220648,A21,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.917126,-7.223252,A22,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.931342,-7.227377,A23,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.928713,-7.233929,A24,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.92132,-7.230069,A25,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.921468,-7.23598,A26,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.927131,-7.25026,A27,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.923666,-7.25277,A28,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.925449,-7.242297,A29,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.920468,-7.246966,A30,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.87231,-7.223644,A31,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.865755,-7.220235,A32,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.869717,-7.232134,A33,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.880428,-7.241671,A34,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.873464,-7.238369,A35,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.876599,-7.210182,A36,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.889434,-7.236034,A37,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.908403,-7.236117,A38,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.895636,-7.214812,A39,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.899776,-7.213484,A40,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.910758,-7.253034,A42,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.891931,-7.25123,A43,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.885419,-7.223069,A44,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.899457,-7.221378,A45,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.904219,-7.226232,A46,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.909963,-7.219402,A47,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.891875,-7.226331,I01,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.881984,-7.218078,I02,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.881961,-7.218128,I03,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.891852,-7.226382,I04,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-35.876837,-7.237434,N05,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.090916,-22.904904,A02,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.100556,-22.905482,A03,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.107477,-22.909774,A05,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.102896,-22.902842,A06,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.105597,-22.906395,A07,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.104777,-22.899991,A08,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.101244,-22.896791,A09,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.11138,-22.884028,A10,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.110367,-22.899098,A11,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.121761,-22.903731,A13,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.130169,-22.898265,A15,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.120885,-22.900557,A16,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.120602,-22.890906,A20,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.11008,-22.907234,A23,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.109564,-22.905893,A24,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.113817,-22.901317,A25,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.113772,-22.901276,A26,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.113729,-22.901234,A27,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.098553,-22.880629,A33,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.082259,-22.878928,A34,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.096762,-22.881389,A35,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.086165,-22.883046,A36,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.090793,-22.922372,A37,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.087787,-22.915947,A38,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.097252,-22.904049,A39,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.104198,-22.898021,A40,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.037535,-22.942268,A41,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.020603,-22.944579,A42,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.025908,-22.937174,A43,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.015006,-22.933679,A44,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.027742,-22.954491,A45,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.069978,-22.933238,A46,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.055668,-22.944785,A47,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.097928,-22.863491,A48,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.103972,-22.871636,A50,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.123659,-22.901742,A51,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.040396,-22.89776,A52,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
